Date,HomeTeam,AwayTeam,H,D,A,O25,Div,kaynak,FTHG,FTAG,home_n,away_n,FTR,Over25,BTTS
2026-09-16,Trujillanos,Rayo Zuliano,1.5,4.18,5.87,,Liga Futve - Clausura,soccerbets,2.0,4.0,trujillanos,rayo zuliano,A,1.0,1.0
2026-09-16,Atl. Nacional W,Dep. Cali W,3.01,2.52,2.61,,Liga Women - Play Offs,soccerbets,1.0,2.0,atl nacional w,dep cali w,A,1.0,1.0
2026-09-16,Once Caldas,Deportes Tolima,2.26,3.18,3.44,,Primera A - Clausura,soccerbets,1.0,0.0,once caldas,deportes tolima,H,0.0,0.0
2026-09-16,Fort Wayne,One Knoxville,2.09,3.56,3.13,,Usl League One,soccerbets,2.0,3.0,fort wayne,one knoxville,A,1.0,1.0
2026-09-16,Metropolitanos,Caracas,2.21,3.17,3.24,,Liga Futve - Clausura,soccerbets,3.0,0.0,metropolitanos,caracas,H,1.0,0.0
2026-09-17,Birmingham,New Mexico,2.38,3.66,2.81,,Usl Championship,soccerbets,4.0,4.0,birmingham,new mexico,D,1.0,1.0
2026-09-17,Blooming,Universitario de Vinto,1.47,3.86,4.64,,Division Profesional,soccerbets,1.0,1.0,blooming,universitario de vinto,D,0.0,1.0
2026-09-17,Corinthians,Estudiantes L.P.,2.16,2.84,4.42,,Copa Libertadores - Play Offs,soccerbets,0.0,1.0,corinthians,estudiantes l p,A,0.0,0.0
2026-09-17,Cartagines,Saprissa,2.5,2.43,3.57,,Concacaf Central American Cup - Play Offs,soccerbets,3.0,2.0,cartagines,saprissa,H,1.0,1.0
2026-09-17,Boise,Charlotte Independ.,1.69,4.09,4.1,,Usl League One,soccerbets,1.0,1.0,boise,charlotte independ,D,0.0,1.0
2026-09-17,Inter Santa Tecla,FAS,2.78,3.07,2.55,,Primera Division - Apertura,soccerbets,2.0,2.0,inter santa tecla,fas,D,1.0,1.0
2026-09-17,Inter Bogotá,Atl. Nacional,4.28,3.56,1.87,,Primera A - Clausura,soccerbets,2.0,3.0,inter bogota,atl nacional,A,1.0,1.0
2026-09-17,Denver Summit W,Bay FC W,1.65,3.9,4.63,,Nwsl Women,soccerbets,2.0,2.0,denver summit w,bay w,D,1.0,1.0
2026-09-17,Colorado Rapids,St. Louis City,2.28,3.38,3.28,,Us Open Cup,soccerbets,0.0,3.0,colorado rapids,st louis city,A,1.0,0.0
2026-09-17,Angel City W,Seattle Reign W,1.89,3.43,3.87,,Nwsl Women,soccerbets,3.0,1.0,angel city w,seattle reign w,H,1.0,1.0
